epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3738.78,0.55095,0.41098,0.99726,0.87249,0.79623,0.87057,0.72651,0.66443,0.54625,1.06108,0.000371375,0.000371375,0.000371375
73,3790.53,0.54675,0.40218,0.99228,0.89793,0.79414,0.8794,0.74062,0.64496,0.50972,1.05343,0.000359,0.000359,0.000359
74,3847.07,0.53837,0.40378,0.99134,0.88552,0.80705,0.87825,0.73486,0.66044,0.51899,1.06592,0.000346625,0.000346625,0.000346625
75,3899.8,0.54067,0.40345,0.99683,0.88313,0.79396,0.88027,0.73969,0.65258,0.52389,1.05214,0.00033425,0.00033425,0.00033425
76,3952.09,0.52938,0.38514,0.98087,0.87806,0.79457,0.86989,0.7346,0.64441,0.532,1.05131,0.000321875,0.000321875,0.000321875
77,4003.87,0.52216,0.38015,0.9765,0.86808,0.81247,0.88157,0.74197,0.64124,0.5162,1.05711,0.0003095,0.0003095,0.0003095
78,4055.75,0.52766,0.37873,0.98143,0.89359,0.7937,0.87209,0.73895,0.64485,0.53414,1.05169,0.000297125,0.000297125,0.000297125
79,4107.54,0.53337,0.38027,0.98185,0.89325,0.81406,0.88326,0.74132,0.65931,0.50925,1.06245,0.00028475,0.00028475,0.00028475
80,4159.3,0.52245,0.37758,0.98291,0.87388,0.80267,0.88018,0.74359,0.63651,0.52976,1.04483,0.000272375,0.000272375,0.000272375
81,4211.19,0.52509,0.37917,0.98448,0.89322,0.80216,0.87975,0.74354,0.64884,0.51477,1.05348,0.00026,0.00026,0.00026
82,4263.01,0.51723,0.36871,0.97709,0.87929,0.80331,0.87703,0.73987,0.64871,0.52347,1.04981,0.000247625,0.000247625,0.000247625
83,4314.85,0.51388,0.36488,0.97869,0.90623,0.78805,0.88109,0.74548,0.63862,0.50738,1.05289,0.00023525,0.00023525,0.00023525
84,4366.8,0.51887,0.37,0.9881,0.90687,0.79309,0.88453,0.7432,0.65507,0.52159,1.0568,0.000222875,0.000222875,0.000222875
85,4418.68,0.5084,0.36162,0.97264,0.89005,0.79379,0.87927,0.74498,0.64015,0.51844,1.04616,0.0002105,0.0002105,0.0002105
86,4470.57,0.50738,0.35841,0.97385,0.87756,0.81263,0.88258,0.74452,0.63485,0.50764,1.04167,0.000198125,0.000198125,0.000198125
87,4522.45,0.50776,0.35532,0.96961,0.89025,0.8013,0.88029,0.74476,0.63502,0.5217,1.0459,0.00018575,0.00018575,0.00018575
88,4574.32,0.50315,0.35843,0.97649,0.87561,0.80713,0.87765,0.73814,0.6442,0.52888,1.05095,0.000173375,0.000173375,0.000173375
89,4626.18,0.51319,0.35413,0.97464,0.90112,0.79787,0.88372,0.74488,0.63364,0.50795,1.04085,0.000161,0.000161,0.000161
90,4678.04,0.50028,0.34487,0.96701,0.91861,0.78769,0.88251,0.74463,0.64089,0.51384,1.05009,0.000148625,0.000148625,0.000148625
91,4730.19,0.42203,0.26097,0.90068,0.84932,0.82415,0.88147,0.74017,0.65175,0.52127,1.05551,0.00013625,0.00013625,0.00013625
92,4781.91,0.41667,0.25583,0.89727,0.87387,0.82067,0.88172,0.74347,0.64392,0.51686,1.04992,0.000123875,0.000123875,0.000123875
93,4833.72,0.41363,0.24987,0.89733,0.9011,0.79412,0.88138,0.74297,0.63381,0.51716,1.03858,0.0001115,0.0001115,0.0001115
94,4887.38,0.40851,0.25052,0.89363,0.90377,0.79976,0.88266,0.74736,0.63395,0.50683,1.04265,9.9125e-05,9.9125e-05,9.9125e-05
95,4941.54,0.40342,0.24609,0.89052,0.91259,0.80343,0.88447,0.75014,0.63511,0.51175,1.04342,8.675e-05,8.675e-05,8.675e-05
96,4995.72,0.40465,0.24843,0.8948,0.91025,0.80404,0.88728,0.74893,0.63432,0.51199,1.04931,7.4375e-05,7.4375e-05,7.4375e-05
97,5049.6,0.39577,0.23367,0.88278,0.9257,0.78728,0.88848,0.75456,0.63346,0.5133,1.04759,6.2e-05,6.2e-05,6.2e-05
98,5103.58,0.39947,0.2388,0.88906,0.89786,0.80526,0.8878,0.75245,0.63617,0.51048,1.04814,4.9625e-05,4.9625e-05,4.9625e-05
99,5157.51,0.39837,0.23697,0.88632,0.90316,0.80664,0.88493,0.75104,0.63416,0.52027,1.04906,3.725e-05,3.725e-05,3.725e-05
100,5211.34,0.39096,0.2334,0.88252,0.90478,0.80798,0.88825,0.75138,0.6337,0.51559,1.04712,2.4875e-05,2.4875e-05,2.4875e-05
